#Channel       Frequency       Mean        Std     Median      MADFM      1%ile        Min        Max
#                    MHz   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam
     257        1.000000      0.001      0.000      0.000      0.000      0.000    -22.571     19.420
     205        1.000000     -0.012      0.000      0.000      0.000      0.000    -19.206     19.202
      35        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.419     20.559
      87        1.000000     -0.001      0.000      0.000      0.000      0.000    -20.260     21.719
     141        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.119     21.794
     258        1.000000     -0.007      0.000      0.000      0.000      0.000    -28.241     18.293
     206        1.000000     -0.006      0.000      0.000      0.000      0.000    -21.588     21.962
      36        1.000000     -0.004      0.000      0.000      0.000      0.000    -19.513     26.425
      88        1.000000     -0.003      0.000      0.000      0.000      0.000    -21.637     20.774
     259        1.000000     -0.010      0.000      0.000      0.000      0.000    -21.213     19.275
     142        1.000000     -0.001      0.000      0.000      0.000      0.000    -22.576     20.395
     207        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.324     18.636
      37        1.000000     -0.006      0.000      0.000      0.000      0.000    -18.387     25.222
      89        1.000000     -0.001      0.000      0.000      0.000      0.000    -22.510     21.615
     260        1.000000      0.002      0.000      0.000      0.000      0.000    -21.066     18.492
     143        1.000000     -0.011      0.000      0.000      0.000      0.000    -22.400     20.953
     208        1.000000     -0.006      0.000      0.000      0.000      0.000    -19.814     25.418
      90        1.000000     -0.000      0.000      0.000      0.000      0.000    -22.269     18.615
      38        1.000000     -0.008      0.000      0.000      0.000      0.000    -20.341     20.298
     261        1.000000     -0.004      0.000      0.000      0.000      0.000    -26.742     21.870
     144        1.000000     -0.007      0.000      0.000      0.000      0.000    -20.474     18.030
     209        1.000000     -0.011      0.000      0.000      0.000      0.000    -20.702     21.912
      39        1.000000     -0.002      0.000      0.000      0.000      0.000    -18.750     18.861
      91        1.000000      0.003      0.000      0.000      0.000      0.000    -20.334     19.862
     262        1.000000     -0.006      0.000      0.000      0.000      0.000    -18.291     18.674
     145        1.000000     -0.000      0.000      0.000      0.000      0.000    -20.231     21.701
     210        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.413     19.394
